date, rtn
01/03/2012, 0.25%
01/04/2012, 0.01%
01/05/2012, 0.02%
01/06/2012, -0.06%
01/09/2012, 0.11%
01/10/2012, -0.01%
01/11/2012, 0.00%
01/12/2012, -0.01%
1/13/2012, -0.01%
1/17/2012, -0.01%
1/18/2012, 0.45%
1/19/2012, -0.01%
1/20/2012, 0.00%
1/23/2012, -0.01%
1/24/2012, -0.01%
1/25/2012, -0.01%
1/26/2012, -0.01%
1/27/2012, 0.09%
1/30/2012, -0.01%
1/31/2012, 0.09%
02/01/2012, 0.00%
02/02/2012, 0.00%
02/03/2012, -0.01%
02/06/2012, 0.00%
02/07/2012, 0.00%
02/08/2012, -0.01%
02/09/2012, -0.01%
02/10/2012, -0.30%
2/13/2012, 0.18%
2/14/2012, -0.01%
2/15/2012, -0.13%
2/16/2012, 0.33%
2/17/2012, -0.01%
2/21/2012, -0.01%
2/22/2012, -0.05%
2/23/2012, 0.14%
2/24/2012, -0.01%
2/27/2012, -0.09%
2/28/2012, 0.00%
2/29/2012, 0.00%
03/01/2012, 0.21%
03/02/2012, -0.01%
03/05/2012, 0.00%
03/06/2012, -0.55%
03/07/2012, 0.39%
03/08/2012, 0.45%
03/09/2012, 0.00%
03/12/2012, -0.01%
3/13/2012, 0.16%
3/14/2012, -0.01%
3/15/2012, 0.18%
3/16/2012, 0.00%
3/19/2012, 0.06%
3/20/2012, -0.01%
3/21/2012, 0.00%
3/22/2012, -0.10%
3/23/2012, 0.10%
3/26/2012, 0.30%
3/27/2012, -0.01%
3/28/2012, -0.05%
3/29/2012, -0.01%
3/30/2012, -0.01%
04/02/2012, 0.15%
04/03/2012, -0.01%
04/04/2012, -0.01%
04/05/2012, -0.03%
04/09/2012, -0.30%
04/10/2012, -0.51%
04/11/2012, 0.69%
04/12/2012, 0.45%
4/13/2012, -0.17%
4/16/2012, 0.08%
4/17/2012, 0.37%
4/18/2012, -0.01%
4/19/2012, -0.15%
4/20/2012, 0.03%
4/23/2012, -0.32%
4/24/2012, 0.14%
4/25/2012, 0.82%
4/26/2012, -0.01%
4/27/2012, -0.01%
4/30/2012, 0.00%
05/01/2012, 0.00%
05/02/2012, -0.01%
05/03/2012, -0.01%
05/04/2012, -0.31%
05/07/2012, 0.16%
05/08/2012, -0.23%
05/09/2012, -0.26%
05/10/2012, 0.07%
05/11/2012, -0.27%
5/14/2012, -0.77%
5/15/2012, -0.63%
5/16/2012, -0.66%
5/17/2012, -0.57%
5/18/2012, -0.70%
5/21/2012, 1.20%
5/22/2012, -0.06%
5/23/2012, -0.08%
5/24/2012, -0.04%
5/25/2012, -0.07%
5/29/2012, 0.64%
5/30/2012, -0.01%
5/31/2012, 0.18%
06/01/2012, -0.29%
06/04/2012, 0.38%
06/05/2012, 0.12%
06/06/2012, 0.57%
06/07/2012, -0.01%
06/08/2012, -0.24%
06/11/2012, -0.01%
06/12/2012, 0.35%
6/13/2012, 0.00%
6/14/2012, 0.34%
6/15/2012, 0.07%
6/18/2012, -0.01%
6/19/2012, 0.00%
6/20/2012, 0.00%
6/21/2012, 0.00%
6/22/2012, 0.36%
6/25/2012, -0.23%
6/26/2012, 0.40%
6/27/2012, 0.40%
6/28/2012, -0.05%
6/29/2012, 0.44%
07/02/2012, -0.01%
07/03/2012, 0.00%
07/05/2012, 0.00%
07/06/2012, -0.01%
07/09/2012, -0.01%
07/10/2012, -0.01%
07/11/2012, -0.04%
07/12/2012, -0.01%
7/13/2012, 0.28%
7/16/2012, 0.00%
7/17/2012, 0.03%
7/18/2012, 0.00%
7/19/2012, -0.01%
7/20/2012, 0.00%
7/23/2012, -0.39%
7/24/2012, -0.19%
7/25/2012, -0.08%
7/26/2012, 0.63%
7/27/2012, -0.01%
7/30/2012, -0.01%
7/31/2012, -0.01%
08/01/2012, -0.25%
08/02/2012, -0.36%
08/03/2012, 1.42%
08/06/2012, 0.02%
08/07/2012, 0.26%
08/08/2012, -0.07%
08/09/2012, -0.01%
08/10/2012, 0.01%
8/13/2012, -0.01%
8/14/2012, -0.06%
8/15/2012, -0.13%
8/16/2012, 0.12%
8/17/2012, -0.01%
8/20/2012, -0.01%
8/21/2012, -0.01%
8/22/2012, -0.05%
8/23/2012, -0.01%
8/24/2012, 0.02%
8/27/2012, 0.02%
8/28/2012, -0.05%
8/29/2012, -0.05%
8/30/2012, -0.31%
8/31/2012, 0.35%
09/04/2012, -0.08%
09/05/2012, -0.07%
09/06/2012, 0.76%
09/07/2012, -0.01%
09/10/2012, -0.01%
09/11/2012, 0.17%
09/12/2012, 0.04%
9/13/2012, 0.00%
9/14/2012, -0.01%
9/17/2012, -0.07%
9/18/2012, -0.06%
9/19/2012, -0.01%
9/20/2012, -0.01%
9/21/2012, 0.00%
9/24/2012, -0.09%
9/25/2012, -0.14%
9/26/2012, -0.52%
9/27/2012, 0.46%
9/28/2012, -0.09%
10/01/2012, 0.12%
10/02/2012, -0.03%
